# Residuals   
# Time        	p_rgh         	Ux            	Uz            	alpha.water   	k             	omega         
0             	N/A	N/A	N/A	N/A	N/A
0.134194      	2.251924e-06	1.629884e-03	2.050159e-03	1.399395e-07	1.756736e-03	5.323415e-03
0.134839      	2.154128e-06	1.629709e-03	2.054460e-03	1.398277e-07	1.744219e-03	5.263122e-03
0.135484      	2.218493e-06	1.628421e-03	2.060360e-03	1.395941e-07	1.730101e-03	5.203488e-03
0.136129      	2.353076e-06	1.626841e-03	2.062979e-03	1.390459e-07	1.715371e-03	5.144056e-03
0.136774      	2.315634e-06	1.622624e-03	2.065511e-03	1.391886e-07	1.700678e-03	5.085671e-03
0.137419      	2.119471e-06	1.619433e-03	2.062603e-03	1.383617e-07	1.686163e-03	5.028612e-03
0.138065      	2.309061e-06	1.616513e-03	2.062348e-03	1.374095e-07	1.672658e-03	4.972709e-03
0.13871       	2.723424e-06	1.613579e-03	2.062094e-03	1.359882e-07	1.660031e-03	4.917026e-03
0.139355      	2.506704e-06	1.607975e-03	2.062464e-03	1.356761e-07	1.647091e-03	4.862493e-03
0.14          	2.335192e-06	1.603099e-03	2.056118e-03	1.341027e-07	1.633913e-03	4.809236e-03
0.140645      	2.628130e-06	1.597752e-03	2.049109e-03	1.326581e-07	1.619355e-03	4.756836e-03
0.14129       	3.021869e-06	1.593612e-03	2.039936e-03	1.310186e-07	1.602530e-03	4.704070e-03
0.141935      	2.519477e-06	1.587364e-03	2.033339e-03	1.302168e-07	1.585712e-03	4.652129e-03
0.142581      	2.554440e-06	1.584365e-03	2.024558e-03	1.284778e-07	1.569301e-03	4.601444e-03
0.143226      	2.576363e-06	1.580793e-03	2.016060e-03	1.269118e-07	1.553064e-03	4.551634e-03
0.143871      	2.686087e-06	1.577022e-03	2.007239e-03	1.254258e-07	1.537233e-03	4.502931e-03
0.144516      	2.426276e-06	1.572579e-03	1.999934e-03	1.241189e-07	1.521691e-03	4.455280e-03
0.145161      	3.318658e-06	1.568252e-03	1.992538e-03	1.233851e-07	1.505519e-03	4.407430e-03
0.145806      	2.925090e-06	1.562401e-03	1.986228e-03	1.238902e-07	1.490294e-03	4.360620e-03
0.146452      	2.682492e-06	1.558969e-03	1.977235e-03	1.236932e-07	1.475837e-03	4.314838e-03
