alpha.water,yPlus,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,26.1141,16647,-0.291407,16647,0,0,0,0.907127,0.907127,0.1,-0.0127329,134,2
1,26.1141,16647,-0.291407,16647,0,0,0,0.907127,0.907127,-0.1,-0.0127329,135,2
1,26.454,16780.6,-0.280756,16780.6,0,0,0,0.89163,0.89163,0.1,-0.014718,136,2
1,26.454,16780.6,-0.280756,16780.6,0,0,0,0.89163,0.89163,-0.1,-0.014718,137,2
1,26.7259,16902.5,-0.271028,16902.5,0,0,0,0.876128,0.876128,0.1,-0.0166663,138,2
1,26.7259,16902.5,-0.271028,16902.5,0,0,0,0.876128,0.876128,-0.1,-0.0166663,139,2
1,26.9463,17013.3,-0.26219,17013.3,0,0,0,0.860622,0.860622,0.1,-0.0185787,140,2
1,26.9463,17013.3,-0.26219,17013.3,0,0,0,0.860622,0.860622,-0.1,-0.0185787,141,2
1,27.1316,17114.6,-0.254108,17114.6,0,0,0,0.845111,0.845111,0.1,-0.0204557,142,2
1,27.1316,17114.6,-0.254108,17114.6,0,0,0,0.845111,0.845111,-0.1,-0.0204557,143,2
1,27.2915,17207.6,-0.246688,17207.6,0,0,0,0.829596,0.829596,0.1,-0.0222977,144,2
1,27.2915,17207.6,-0.246688,17207.6,0,0,0,0.829596,0.829596,-0.1,-0.0222977,145,2
1,27.4327,17293.1,-0.239867,17293.1,0,0,0,0.814078,0.814078,0.1,-0.0241053,146,2
1,27.4327,17293.1,-0.239867,17293.1,0,0,0,0.814078,0.814078,-0.1,-0.0241053,147,2
1,27.5596,17372.1,-0.233566,17372.1,0,0,0,0.798555,0.798555,0.1,-0.0258787,148,2
1,27.5596,17372.1,-0.233566,17372.1,0,0,0,0.798555,0.798555,-0.1,-0.0258787,149,2
1,27.6757,17445.2,-0.227737,17445.2,0,0,0,0.783028,0.783028,0.1,-0.0276182,150,2
1,27.6757,17445.2,-0.227737,17445.2,0,0,0,0.783028,0.783028,-0.1,-0.0276182,151,2
1,27.7835,17513,-0.222327,17513,0,0,0,0.767498,0.767498,0.1,-0.0293238,152,2
